Colonne,Description,Unité
Biovolume [mm3 l-1] (ESD: 1.29-1.63 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 1.63-2.05 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 2.05-2.58 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 2.58-3.25 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 3.25-4.1 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 4.1-5.16 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 5.16-6.5 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 6.5-8.19 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 8.19-10.3 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 10.3-13 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 13-16.4 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 16.4-20.6 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: 20.6-26 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
Biovolume [mm3 l-1] (ESD: >26 mm),Biovolume particulaire dans une classe ESD (Equivalent Spherical Diameter),mm3 L-1
MiP_abun,Abondance micro-particules,nombre de particules.L-1
MaP_abun,Abondance macro-particules,nombre de particules.L-1
MiP_biov,Biovolume micro-particules,mm³.L-1
MaP_biov,Biovolume macro-particules,mm³.L-1
diffPSD_slope,Pente du spectre de taille des particules,—
diffPSD_slope_stde,Erreur standard de la pente PSD,—
